12;5.116933;12;12;12;2.018648;1.742641;2.018647;12;12;12;12;5.116933;12;12;7.399492;12;12;1;5;0;0;0:
12;5.152161;6.632629;12;12;2.129915;1.747238;1.934744;12;12;12;12;5.116933;12;12;7.399492;12;12;0.008859641;5;0;0;0:
12;5.43219;5.490189;12;12;2.565789;1.793321;1.819402;2.897582;12;12;12;5.113239;12;12;7.396213;12;12;0.0280777;4.998587;-0.01596299;0;-0.1677529:
12;5.768562;5.277026;12;12;11.02203;1.840408;1.784841;2.454102;12;12;12;5.10955;12;12;7.392932;12;12;0.03836519;4.997173;-0.007976511;0;-0.08386654:
12;6.584657;5.15901;12;12;11.59348;1.909995;1.764782;2.223195;12;12;12;5.104603;12;12;7.388546;12;12;0.04911108;4.99528;-0.007986834;0;-0.08386049:
12;12;5.122295;12;12;12;2.008824;1.759571;2.072546;12;12;12;5.098484;12;12;7.383122;12;12;0.06009839;4.992934;-0.008078188;0;-0.08431152:
12;12;5.166613;6.53831;12;12;2.153153;1.769765;1.966494;12;12;12;5.091113;12;12;7.376596;12;12;0.07146857;4.990108;-0.007931907;0;-0.08342791:
7.980155;12;5.592757;5.383227;12;12;2.787156;1.843207;1.843984;12;12;12;5.072716;12;12;7.360342;12;12;0.09481343;4.983043;-0.01603636;0;-0.168638:
7.541309;12;6.185968;5.208674;12;12;11.30943;1.912031;1.816549;12;12;12;5.061628;12;12;7.350572;12;12;0.1065688;4.978779;-0.00789094;0;-0.08296508:
7.359604;12;12;5.143213;12;12;12;2.008043;1.807636;12;12;12;5.049459;12;12;7.339874;12;12;0.1181882;4.974093;-0.008062162;0;-0.0843426:
7.347663;12;12;5.169017;12;12;12;2.143778;1.815771;12;12;12;5.036008;12;12;7.328076;12;12;0.1298831;4.968908;-0.007956542;0;-0.08337432:
7.509143;12;12;5.294581;5.85815;12;12;2.344306;1.841464;12;12;12;5.021211;12;12;7.315129;12;12;0.1416934;4.963194;-0.007976763;0;-0.08395433:
7.914721;8.099594;12;5.54793;5.464315;12;12;2.666952;1.884833;12;12;12;5.005547;12;12;7.301464;12;12;0.1532411;4.957136;-0.008065693;0;-0.08477497:
12;7.314504;12;12;5.178684;12;12;12;2.040817;12;12;12;4.970328;12;12;7.270887;12;12;0.1765961;4.94348;-0.01585831;0;-0.166738:
12;7.256392;12;12;5.191118;12;12;12;2.167002;12;12;12;4.950949;12;12;7.254148;12;12;0.1882739;4.935945;-0.008016206;0;-0.08385885:
12;7.364148;12;12;5.303712;6.004321;12;12;2.347734;12;12;12;4.930232;12;12;7.236325;12;12;0.2000483;4.92787;-0.007972643;0;-0.08388138:
12;7.683249;8.20334;12;5.542094;5.550182;12;12;2.620594;12;12;12;4.908703;12;12;7.217871;12;12;0.2116238;4.919459;-0.00807865;0;-0.08457136:
12;8.541202;7.537235;12;6.018888;5.324053;12;12;3.197496;12;12;12;4.88582;12;12;7.198353;12;12;0.2233108;4.910501;-0.007880718;0;-0.08314431:
12;12;7.149052;12;12;5.231258;12;12;12;12;12;12;4.836725;12;12;7.156768;12;12;0.2466376;4.891202;-0.01597866;0;-0.1677479:
12;12;7.211853;12;12;5.336511;6.15231;12;12;12;12;12;4.810477;12;12;7.134705;12;12;0.2583055;4.880842;-0.008034348;0;-0.08385134:
5.710857;12;7.460758;8.301557;12;5.566507;5.643791;12;12;12;12;12;4.783117;12;12;7.111837;12;12;0.2697888;4.870011;-0.007983848;0;-0.0838871:
5.20348;12;8.045869;7.513214;12;6.00352;5.403623;12;12;12;12;12;4.754656;12;12;7.088186;12;12;0.2809897;4.85871;-0.007964179;0;-0.08385038:
4.923738;12;12;7.174063;12;12;5.295696;12;12;12;12;6.5797;4.724718;12;12;7.063465;12;12;0.2920377;4.84678;-0.007997707;0;-0.08386374:
4.661911;12;12;7.014431;12;12;5.354038;6.652554;12;12;12;6.169143;4.662777;12;12;7.012839;12;12;0.3127337;4.821969;-0.01612297;0;-0.1696641:
