speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
0.582172,-0.417316,-0.330684,-2.268398,-2.375012
0.746712,-0.605181,-0.338153,-1.194013,-1.139151
0.906304,-0.779339,-0.342969,0.105264,-0.350649
1.05617,-0.939701,-0.345104,1.416469,0.175994
1.194273,-1.086177,-0.344531,2.660643,0.537046
1.319624,-1.218679,-0.34122,3.80369,0.784534
1.431691,-1.337117,-0.335143,4.829004,0.948515
1.53017,-1.441401,-0.326273,5.727714,1.047511
1.614879,-1.531443,-0.31458,6.494722,1.093643
1.68571,-1.607153,-0.300037,7.126929,1.095307
1.742599,-1.668441,-0.282614,7.622369,1.058667
1.785516,-1.715219,-0.262284,7.979762,0.988539
1.814453,-1.7474,-0.239019,8.198268,0.888948
1.829427,-1.765002,-0.212821,8.277354,0.763522
1.830474,-1.768182,-0.183728,8.216733,0.615783
1.817651,-1.757104,-0.151783,8.016335,0.449417
1.791046,-1.731933,-0.117028,7.676332,0.268549
1.750779,-1.692835,-0.079505,7.197205,0.078066
1.697018,-1.639973,-0.039255,6.579874,-0.115956
1.629998,-1.57343,0.003696,5.825958,-0.305651
1.550056,-1.493106,0.049357,4.938228,-0.480476
1.457677,-1.398873,0.097744,3.92147,-0.625851
1.353592,-1.290607,0.148873,2.784145,-0.721036
1.238932,-1.168181,0.202756,1.541722,-0.735809
1.115532,-1.031471,0.259411,0.224419,-0.625243
0.986824,-0.880774,0.318734,-0.95213,-0.276086
0.883226,-0.748822,0.370338,-1.635662,0.265049
0.81945,-0.658355,0.407007,-1.890955,0.764183
0.788747,-0.609423,0.428731,-1.846623,1.105727
0.785993,-0.602072,0.435497,-1.605836,1.231766
0.809986,-0.636352,0.427292,-1.190139,1.136273
0.863912,-0.712311,0.404107,-0.530144,0.85842
0.953779,-0.829997,0.365927,0.49513,0.487964
1.085814,-0.989458,0.312742,1.993713,0.153561
1.264463,-1.190742,0.244539,4.016856,-0.019215
1.49188,-1.433898,0.161307,6.562177,0.053066
1.768517,-1.718973,0.063034,9.585273,0.399674
2.086483,-2.0386,-0.048242,12.397588,0.847401
2.330684,-2.28045,-0.141489,14.113793,1.23347
2.458202,-2.405183,-0.205849,14.65822,1.475498
2.467304,-2.412646,-0.241298,14.026171,1.517549
2.357177,-2.302688,-0.247809,12.216227,1.336875
2.127449,-2.075157,-0.225359,9.229561,0.931462
1.779312,-1.731114,-0.174159,5.577678,0.423709
1.421307,-1.37716,-0.115053,2.409287,0.03719
1.12876,-1.08735,-0.062523,-0.116146,-0.20061
0.902043,-0.861823,-0.016601,-1.993312,-0.262139
0.741557,-0.700719,0.022681,-3.210425,-0.140522
0.647378,-0.604178,0.055291,-3.774551,0.107278
0.612067,-0.565616,0.081078,-3.978388,0.35619
0.594998,-0.545523,0.099302,-4.059637,0.558747
0.588612,-0.537236,0.109807,-4.040258,0.693722
0.592379,-0.540809,0.112563,-3.931313,0.747614
0.60619,-0.556297,0.107534,-3.734385,0.721782
0.630371,-0.583003,0.095106,-3.441589,0.631393
0.665582,-0.620256,0.075659,-3.03906,0.502829
0.71266,-0.669058,0.048637,-2.512106,0.369629
0.772454,-0.729435,0.014026,-1.8497,0.267304
0.845702,-0.801415,-0.028193,-1.046696,0.228216
0.932956,-0.885033,-0.078041,-0.103528,0.277931
1.034582,-0.980332,-0.135544,0.975621,0.433816
1.150781,-1.087365,-0.200733,2.17272,0.698123
1.276861,-1.20189,-0.271018,3.296206,0.975126
1.384248,-1.298575,-0.330917,4.185402,1.23155
1.467352,-1.37312,-0.3778,4.834604,1.43925
1.525684,-1.425523,-0.411667,5.245502,1.575272
1.558965,-1.455785,-0.432519,5.41951,1.626754
1.567046,-1.463906,-0.440355,5.357482,1.587042
1.549868,-1.449885,-0.435175,5.059657,1.453959
1.507449,-1.413723,-0.41698,4.525628,1.229315
1.439894,-1.35542,-0.38577,3.754288,0.919477
1.347427,-1.274975,-0.341543,2.743769,0.537281
1.230468,-1.172389,-0.284302,1.491502,0.106406
1.089814,-1.047662,-0.214044,-0.004942,-0.328788
0.927079,-0.900794,-0.130771,-1.743386,-0.679617
0.745954,-0.731785,-0.034483,-3.694355,-0.750055
0.556532,-0.540634,0.074821,-5.672097,-0.058017
0.393069,-0.327342,0.197141,-6.549693,2.432615
0.360585,-0.091908,0.332476,-4.415656,9.322466
1.342795,0.961463,0.970214,-0.563546,-1.49051
1.024288,0.666997,0.808325,1.528933,0.726457
0.745374,0.392744,0.658291,2.757066,3.090045
0.526402,0.138746,0.52014,2.292442,5.43031
0.414602,-0.094961,0.393888,-0.667834,6.212069
0.448973,-0.308344,0.27955,-3.172301,4.004659
0.575483,-0.501372,0.17714,-2.992503,1.82433
0.727442,-0.67401,0.08667,-1.773681,0.786635
0.876037,-0.826225,0.008155,-0.42841,0.414099
1.0106,-0.957986,-0.058391,0.793149,0.346215
1.126735,-1.069258,-0.112954,1.823641,0.402303
1.222407,-1.160009,-0.155522,2.643859,0.491547
1.296595,-1.230207,-0.186079,3.248416,0.566116
1.34878,-1.279817,-0.204612,3.636137,0.600223
1.378726,-1.308807,-0.211108,3.807133,0.580606
1.386394,-1.317144,-0.205553,3.761893,0.502192
1.371908,-1.304798,-0.187929,3.501124,0.36638
1.335577,-1.271739,-0.158217,3.072155,0.213347
1.289958,-1.22921,-0.124292,2.667307,0.136228
1.252447,-1.193469,-0.097544,2.340896,0.09601
1.222922,-1.164716,-0.078112,2.091485,0.084626
1.201128,-1.142967,-0.066009,1.917631,0.095958
1.186896,-1.128236,-0.061246,1.818311,0.125475
1.180169,-1.120538,-0.063835,1.793202,0.170585
1.181004,-1.119888,-0.073788,1.842833,0.230879
1.18958,-1.126302,-0.091118,1.968567,0.308267
1.20618,-1.139794,-0.115834,2.172404,0.406955
1.231171,-1.160379,-0.147951,2.444793,0.515288
1.261436,-1.18518,-0.18309,2.735701,0.599751
1.291863,-1.210036,-0.214925,3.025699,0.687754
1.322137,-1.234901,-0.243379,3.312822,0.776838
1.352048,-1.259779,-0.268444,3.59573,0.864238
1.381431,-1.284675,-0.290117,3.873517,0.947454
1.410157,-1.309591,-0.308392,4.145623,1.024265
1.438134,-1.334531,-0.323262,4.411756,1.092727
1.465298,-1.359498,-0.334725,4.671835,1.151158
1.491613,-1.384492,-0.342774,4.925946,1.198112
1.517069,-1.409514,-0.347407,5.174307,1.232362
1.541676,-1.434565,-0.348619,5.417246,1.252867
1.565465,-1.459645,-0.346407,5.654362,1.259976
1.588302,-1.484466,-0.341196,5.874586,1.268305
1.60913,-1.50733,-0.335528,6.072737,1.274209
1.627754,-1.527947,-0.329833,6.249087,1.275463
1.644165,-1.546313,-0.324114,6.403472,1.272445
1.658352,-1.562426,-0.318372,6.53575,1.26549
1.670306,-1.576282,-0.312608,6.645802,1.254896
1.680022,-1.587877,-0.306824,6.733523,1.240925
1.687491,-1.59721,-0.301021,6.798823,1.223812
1.692709,-1.604277,-0.295201,6.841625,1.203766
1.695669,-1.609075,-0.289364,6.86186,1.180976
1.696367,-1.611599,-0.283509,6.859469,1.155608
1.694799,-1.611842,-0.277632,6.8344,1.127812
1.690962,-1.609798,-0.271728,6.786608,1.097723
1.684851,-1.605461,-0.265792,6.716052,1.065462
